29/07/2026 20:17:12 Info      File path D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\bin\Debug\\Logs\EView360ATMStreamingService26Jul29.txt
29/07/2026 20:17:38:89 Info      Communicator.Upload                          going to upload file D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\bin\Debug\Processor\Counters_29072026201737_23164_2_16_476_23
29/07/2026 20:17:38:89 Info      Communicator.Upload                          waiting for server response
29/07/2026 20:17:38:89 Info      Communicator.Upload                          server replied:OK
29/07/2026 20:17:38:91 Info      Communicator.Upload                          going to upload file D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\bin\Debug\Processor\Counters_29072026201737_23164_2_17_410_23
29/07/2026 20:17:38:91 Info      Communicator.Upload                          waiting for server response
29/07/2026 20:17:38:91 Info      Communicator.Upload                          server replied:OK
29/07/2026 20:17:38:93 Info      Communicator.Upload                          going to upload file D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\bin\Debug\Processor\Counters_29072026201737_23164_2_18_365_23
29/07/2026 20:17:38:93 Info      Communicator.Upload                          waiting for server response
29/07/2026 20:17:38:93 Info      Communicator.Upload                          server replied:OK
29/07/2026 20:17:38:94 Info      Communicator.Upload                          going to upload file D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\bin\Debug\Processor\Counters_29072026201737_23164_2_19_270_23
29/07/2026 20:17:38:94 Info      Communicator.Upload                          waiting for server response
29/07/2026 20:17:38:94 Info      Communicator.Upload                          server replied:OK
29/07/2026 20:17:38:95 Info      Communicator.Upload                          going to upload file D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\bin\Debug\Processor\Counters_29072026201737_23164_2_20_278_23
29/07/2026 20:17:38:95 Info      Communicator.Upload                          waiting for server response
29/07/2026 20:17:38:95 Info      Communicator.Upload                          server replied:OK
29/07/2026 20:17:38:97 Info      Communicator.Upload                          going to upload file D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\bin\Debug\Processor\Counters_29072026201737_23164_2_21_479_23
29/07/2026 20:17:38:97 Info      Communicator.Upload                          waiting for server response
29/07/2026 20:17:38:97 Info      Communicator.Upload                          server replied:OK
29/07/2026 20:17:38:98 Info      Communicator.Upload                          going to upload file D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\bin\Debug\Processor\Counters_29072026201737_23164_2_22_327_23
29/07/2026 20:17:38:98 Info      Communicator.Upload                          waiting for server response
29/07/2026 20:17:38:98 Info      Communicator.Upload                          server replied:OK
29/07/2026 20:17:38:99 Info      Communicator.Upload                          going to upload file D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\bin\Debug\Processor\Counters_29072026201737_23164_2_23_334_23
29/07/2026 20:17:38:99 Info      Communicator.Upload                          waiting for server response
29/07/2026 20:17:38:99 Info      Communicator.Upload                          server replied:OK
29/07/2026 20:17:39:04 Info      EView360ATMStreaming.CreateZipFile           going to create Zipped file
29/07/2026 20:17:39:18 Info      EView360ATMStreaming.CreateZipFile           Zipped Created Successufully.
29/07/2026 20:17:41:19 Info      EView360ATMStreaming.ReadCounterFile         File does not exists
29/07/2026 20:17:43:20 Info      EView360ATMStreaming.ReadCounterFile         File does not exists
29/07/2026 20:17:45:20 Info      EView360ATMStreaming.ReadCounterFile         File does not exists
29/07/2026 20:17:47:21 Info      EView360ATMStreaming.ReadCounterFile         File does not exists
29/07/2026 20:17:49:22 Info      EView360ATMStreaming.ReadCounterFile         File does not exists
29/07/2026 20:17:52:71 Info      Communicator.SendHeartBeat                   Sending heartbeat to WIN-7QMNL13:16329
29/07/2026 20:17:52:71 Info      EView360ATMStreaming.DoCutOver               Going to sleep for 40 days
29/07/2026 20:18:00:92 Error     Communicator.SendHeartBeat                   
No connection could be made because the target machine actively refused it 192.168.255.1:16329

   at System.Net.Sockets.Socket.Connect(IPAddress[] addresses, Int32 port)
   at System.Net.Sockets.Socket.Connect(String host, Int32 port)
   at ATM360.Communicator.SendHeartBeat(String ip, Int32 port) in D:\View360\Repository - View360 Depart\Services\EView360\EView360ATMStreamingService\Communicator.cs:line 279
29/07/2026 20:18:28:73 Info      EView360ATMStreaming.FileProcessor           Entered
29/07/2026 20:19:28:74 Info      EView360ATMStreaming.FileProcessor           Entered
29/07/2026 20:20:28:76 Info      EView360ATMStreaming.FileProcessor           Entered
29/07/2026 20:20:53:98 Warning   EView360ATMStreaming.OnStop                  Service Stopped
